Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,target
B,Ship,3,3,135,3,medium,F,28,1329,Yes
C,Road,3,1,221,3,high,M,3,5005,Yes
A,Ship,4,2,216,3,low,M,10,4636,No
A,Ship,5,4,206,4,low,F,3,3755,Yes
A,Flight,3,3,213,6,low,F,17,2424,Yes
B,Flight,2,5,198,2,medium,M,4,1913,Yes
C,Ship,3,5,240,7,medium,F,9,5525,Yes
D,Ship,5,4,214,2,medium,F,1,3709,Yes
A,Ship,3,4,192,3,medium,F,31,3331,Yes
B,Ship,4,3,253,4,high,M,4,4868,Yes
C,Ship,5,4,263,4,low,F,10,1995,No
F,Ship,3,2,169,2,low,M,6,4033,No
B,Ship,4,2,265,5,low,M,8,1555,No
D,Ship,3,4,145,2,high,F,5,5513,No
A,Ship,4,2,225,2,low,F,6,2010,Yes
D,Flight,4,5,243,2,low,M,23,2686,Yes
A,Ship,4,5,157,2,medium,F,1,5054,No
C,Ship,3,1,187,4,medium,M,42,3621,Yes
D,Flight,3,4,199,3,medium,M,10,4925,Yes
D,Ship,6,5,254,4,high,F,10,1217,No
C,Road,3,5,256,3,low,F,62,2971,Yes
A,Ship,4,1,144,4,low,M,8,4970,No
D,Road,6,3,244,4,low,F,1,1317,Yes
C,Ship,5,5,240,2,low,F,7,4409,Yes
D,Road,6,4,244,4,medium,M,7,1795,No
D,Flight,3,3,178,3,high,M,12,1900,Yes
C,Ship,6,5,244,4,low,M,9,1789,Yes
F,Flight,4,2,270,5,low,F,5,1747,Yes
D,Ship,3,1,175,3,medium,M,1,4872,No
A,Road,3,4,186,3,high,M,1,5922,Yes
F,Ship,7,1,296,4,low,M,4,1446,No
C,Ship,4,4,145,3,high,M,2,5665,No
F,Ship,5,1,275,5,low,F,3,1062,No
B,Ship,6,2,254,5,low,M,7,1638,Yes
F,Ship,2,1,232,6,low,F,2,5281,Yes
F,Road,6,3,281,5,medium,F,8,1864,Yes
A,Ship,3,2,146,6,medium,F,62,1162,Yes
D,Ship,3,1,192,3,low,F,4,5179,No
F,Ship,4,3,233,2,medium,F,47,3606,Yes
D,Ship,3,2,150,3,low,M,2,4660,Yes
B,Flight,5,2,227,3,medium,M,2,4058,Yes
B,Ship,6,3,250,2,medium,F,1,4747,No
F,Ship,3,2,199,3,medium,F,10,5768,Yes
C,Ship,7,5,273,4,low,F,7,1364,No
F,Ship,5,2,245,2,low,M,6,5366,Yes
F,Flight,4,1,222,2,low,F,10,4714,Yes
D,Ship,5,5,265,6,low,M,4,1937,Yes
F,Ship,5,3,253,4,low,M,9,1729,No
A,Ship,4,5,188,3,medium,M,8,4125,No
D,Flight,4,1,161,3,low,M,1,4789,No
C,Ship,4,4,201,10,low,M,3,4202,No
F,Ship,4,1,240,4,medium,M,7,4818,Yes
B,Ship,4,4,182,2,low,F,13,3332,Yes
B,Ship,5,3,156,2,low,M,1,1147,Yes
B,Ship,3,4,226,3,medium,F,26,2299,Yes
A,Flight,5,4,172,2,low,M,5,4554,Yes
A,Ship,6,3,245,4,low,M,10,1798,No
B,Ship,4,4,181,3,low,M,44,2070,Yes
F,Ship,4,4,185,3,low,F,2,5288,Yes
A,Flight,6,4,284,4,low,F,9,1436,No
D,Ship,4,1,237,4,low,F,4,4697,Yes
D,Ship,3,5,172,2,medium,M,60,1840,Yes
F,Ship,3,2,220,3,low,F,7,5503,No
D,Ship,3,4,172,10,high,F,23,1875,Yes
F,Ship,6,5,305,4,low,F,6,1787,Yes
F,Flight,4,1,135,2,medium,F,64,1471,Yes
A,Road,6,2,309,4,medium,M,10,1782,No
F,Ship,3,3,204,2,medium,F,5,5399,No
A,Flight,4,2,258,5,medium,M,2,1494,No
D,Ship,2,5,209,5,medium,F,9,5565,No
A,Road,2,3,263,3,low,M,10,5997,No
F,Ship,3,2,181,3,medium,F,9,4163,No
C,Ship,5,4,230,3,low,F,39,3989,Yes
B,Ship,3,4,231,6,medium,F,3,5910,Yes
A,Ship,4,2,251,3,low,F,10,3517,Yes
A,Ship,3,3,224,4,medium,M,10,4147,No
A,Ship,4,2,133,3,low,M,2,1212,Yes
F,Ship,3,4,220,7,low,M,43,2620,Yes
A,Ship,4,5,178,3,high,M,22,1907,Yes
C,Ship,5,3,273,4,medium,M,1,5119,No
F,Ship,3,3,144,2,low,M,6,5994,Yes
D,Ship,3,2,169,3,low,F,3,5673,No
A,Ship,5,4,223,5,low,M,2,1400,No
B,Ship,5,2,225,4,low,M,1,4328,Yes
C,Road,2,5,216,3,medium,F,2,5098,No
C,Flight,3,1,203,3,medium,F,3,4137,No
C,Ship,6,1,260,3,low,F,4,1338,Yes
F,Road,3,4,136,3,medium,M,6,4631,No
F,Ship,5,3,182,4,medium,M,5,4770,Yes
F,Ship,4,5,274,3,medium,M,4,4521,No
F,Ship,3,1,203,2,medium,F,51,3976,Yes
F,Ship,3,4,153,4,low,M,5,5604,Yes
F,Ship,4,3,270,2,high,F,5,5346,No
F,Ship,5,2,257,3,low,F,2,4677,Yes
B,Ship,4,1,272,2,medium,F,5,5252,No
D,Ship,5,4,134,2,medium,F,55,1386,Yes
F,Ship,4,3,151,3,medium,F,6,5379,Yes
F,Ship,3,1,229,3,low,M,5,4971,Yes
C,Ship,5,1,252,4,medium,M,4,1837,No
F,Ship,6,2,137,10,low,F,4,4490,No
C,Road,4,5,244,3,low,F,7,4172,No
F,Ship,2,2,176,5,low,F,55,1211,Yes
F,Ship,5,5,243,6,medium,F,9,4587,No
B,Ship,5,3,257,5,low,F,8,1409,No
F,Ship,3,3,162,2,low,F,9,4903,No
B,Road,4,1,245,5,low,M,3,1496,Yes
F,Ship,6,4,284,4,low,F,9,1845,Yes
A,Ship,3,3,232,4,low,F,4,4662,Yes
A,Road,6,2,240,4,low,M,9,4099,No
A,Ship,4,2,165,2,high,M,11,1596,Yes
C,Flight,3,1,255,7,low,F,3,4477,No
A,Ship,3,2,143,4,low,F,3,5845,No
F,Road,4,1,169,4,low,M,1,5323,No
F,Ship,5,1,261,4,high,F,6,4852,No
F,Ship,4,4,170,4,low,M,5,4574,No
B,Road,4,2,278,6,low,F,36,2330,Yes
F,Ship,3,1,215,2,low,F,47,3678,Yes
F,Ship,5,1,226,5,medium,M,3,1409,No
C,Ship,6,5,264,4,medium,F,9,1922,Yes
F,Road,4,4,280,3,medium,M,5,5624,No
B,Ship,4,5,141,3,medium,M,12,1672,Yes
A,Flight,4,2,252,2,medium,F,6,5414,No
D,Road,7,5,244,4,low,M,2,1330,Yes
D,Ship,4,3,135,3,low,F,15,1008,Yes
F,Ship,5,1,267,4,low,M,5,5792,No
A,Ship,6,2,259,4,low,F,10,2000,Yes
B,Flight,3,5,222,3,low,F,10,5185,Yes
B,Ship,3,4,174,2,low,M,7,4596,No
D,Ship,3,2,164,4,medium,M,2,1701,Yes
C,Ship,4,2,220,3,low,F,9,5896,No
F,Ship,4,5,261,2,low,M,3,4119,No
F,Ship,4,2,245,2,low,M,3,4000,No
F,Ship,4,5,182,2,medium,F,10,5098,Yes
F,Ship,4,1,245,5,low,F,3,1537,No
B,Ship,4,4,223,5,medium,M,1,1124,Yes
A,Ship,3,3,132,2,medium,M,1,4687,No
C,Ship,3,4,171,3,low,F,5,5872,No
F,Ship,4,4,267,5,medium,F,9,1716,Yes
A,Ship,6,1,289,4,low,M,3,1181,Yes
C,Ship,4,2,227,4,medium,F,22,2460,Yes
C,Ship,4,1,261,5,low,F,6,1129,No
D,Flight,4,2,219,3,low,F,9,5703,No
F,Ship,3,5,203,10,medium,F,1,4996,No
F,Ship,3,4,186,2,low,M,63,3447,Yes
A,Ship,2,5,271,3,low,M,9,4185,No
F,Ship,2,2,201,3,high,M,2,4865,Yes
D,Ship,5,1,143,3,medium,F,3,4907,Yes
B,Ship,2,5,188,2,medium,F,9,4610,No
F,Flight,3,4,204,3,medium,F,27,2772,Yes
B,Road,4,1,197,3,low,M,2,4326,No
C,Ship,4,1,145,3,medium,M,8,4915,No
A,Ship,5,5,189,3,low,F,10,5554,Yes
F,Road,5,2,222,5,low,F,1,1672,No
C,Ship,5,2,263,4,low,M,3,1740,Yes
C,Ship,2,4,178,4,medium,F,8,4620,No
F,Ship,5,4,267,5,low,M,9,1113,No
D,Ship,3,5,196,3,high,F,4,4569,No
F,Ship,2,1,235,3,medium,F,6,4411,Yes
D,Flight,4,1,143,3,medium,M,4,4283,No
D,Ship,3,1,222,3,low,M,1,5362,Yes
A,Ship,3,1,111,4,low,M,61,1844,Yes
D,Ship,6,4,270,4,low,F,10,1199,Yes
B,Ship,2,1,192,3,high,M,46,3206,Yes
F,Ship,3,2,184,3,medium,F,8,4994,No
F,Ship,3,3,152,2,medium,M,3,4193,Yes
A,Ship,6,3,231,4,low,F,7,4553,Yes
A,Ship,3,1,203,3,medium,F,4,4965,No
F,Ship,6,4,304,4,low,F,2,1749,No
D,Ship,3,3,160,4,medium,M,58,1496,Yes
F,Ship,3,3,270,3,high,F,7,4690,Yes
F,Ship,4,2,196,5,low,M,5,4994,No
F,Road,3,3,242,2,medium,F,7,4960,No
F,Ship,3,4,240,2,low,F,33,3489,Yes
F,Ship,5,5,267,5,low,F,1,1352,Yes
A,Ship,7,5,301,4,low,F,7,1727,No
F,Ship,4,4,224,3,medium,F,1,4231,No
C,Road,5,5,259,3,medium,F,5,4315,No
F,Road,3,1,252,2,low,M,9,5050,No
F,Road,4,3,266,3,low,M,9,5621,Yes
C,Ship,3,3,167,2,low,M,6,5101,No
F,Road,5,5,223,6,medium,F,10,1711,No
B,Road,3,2,271,2,medium,M,6,5280,Yes
F,Ship,4,3,258,3,medium,F,7,4887,Yes
C,Road,6,5,282,4,low,M,4,1035,No
F,Road,2,4,147,3,low,M,5,1920,Yes
D,Ship,6,4,293,6,low,F,7,1117,Yes
C,Ship,5,4,223,3,low,M,7,4671,Yes
B,Ship,5,5,235,5,medium,M,9,1032,Yes
D,Ship,5,1,238,6,low,F,9,1192,No
F,Ship,5,5,206,3,low,M,1,5520,No
A,Ship,5,2,246,5,low,F,4,1072,Yes
F,Ship,7,5,289,4,low,F,10,1074,Yes
A,Road,5,5,176,3,medium,F,8,5335,Yes
C,Ship,6,2,255,4,medium,F,3,1355,No
C,Ship,5,3,194,3,medium,F,6,2736,Yes
F,Ship,6,5,113,3,high,F,35,1402,Yes
B,Ship,6,4,161,4,medium,M,3,1747,Yes
B,Ship,4,1,194,3,medium,F,6,5282,No
B,Road,5,3,267,3,medium,F,8,5786,Yes
D,Flight,6,1,173,3,medium,F,2,4892,No
B,Road,5,3,193,4,medium,F,3,5026,No
F,Road,4,4,236,7,medium,M,62,2280,Yes
C,Ship,3,5,256,3,low,M,7,4366,Yes
F,Flight,3,4,235,3,low,M,4,5498,No
F,Flight,3,3,158,2,medium,M,7,4865,No
F,Ship,6,5,211,6,low,M,3,4957,No
A,Ship,4,4,149,3,medium,M,6,5508,No
F,Ship,4,3,131,5,low,M,6,1659,Yes
F,Flight,4,4,203,3,medium,M,8,4443,No
D,Ship,4,5,208,2,low,M,1,4039,No
F,Ship,5,3,236,4,medium,M,7,4308,No
A,Road,4,5,229,5,low,F,3,1954,No
B,Ship,5,4,143,3,medium,F,1,5165,Yes
F,Ship,4,4,250,3,low,M,10,4505,No
D,Flight,5,2,263,6,low,F,6,1511,Yes
C,Road,5,5,244,5,low,M,5,1787,No
B,Ship,3,1,268,4,medium,F,4,5006,No
A,Road,4,5,251,5,medium,F,7,1070,Yes
C,Ship,4,2,275,3,medium,M,26,2449,Yes
A,Ship,4,5,251,2,medium,F,8,5232,No
D,Flight,3,5,162,2,low,M,28,1948,Yes
A,Ship,4,1,139,3,medium,M,7,4550,No
D,Ship,5,1,185,3,medium,F,7,4855,Yes
A,Ship,3,1,148,2,medium,M,5,4082,Yes
D,Ship,4,2,182,2,medium,F,54,3261,Yes
C,Ship,6,4,147,3,low,M,4,4549,Yes
D,Ship,3,2,153,3,medium,F,3,5251,No
B,Ship,4,5,161,2,medium,M,55,1457,Yes
A,Road,4,2,197,3,low,M,4,5800,No
D,Ship,5,4,138,2,medium,M,38,1803,Yes
F,Ship,4,3,264,6,medium,F,10,1962,Yes
D,Ship,2,2,219,3,low,F,56,3608,Yes
F,Ship,3,1,268,3,low,M,2,4746,Yes
D,Ship,6,2,280,4,low,M,10,1866,Yes
D,Flight,4,1,211,3,medium,F,2,5851,No
B,Ship,4,3,261,3,medium,M,1,4590,No
F,Flight,3,3,251,3,medium,M,2,5972,No
C,Road,3,2,221,2,low,F,10,4312,No
B,Ship,5,3,137,4,low,F,9,4754,No
F,Ship,2,3,151,3,medium,M,22,1024,Yes
A,Ship,4,1,140,2,low,M,61,1770,Yes
A,Road,3,1,226,3,low,F,8,4002,No
A,Ship,5,5,233,3,high,M,5,5330,No
A,Ship,4,1,251,4,medium,F,33,2906,Yes
A,Ship,5,1,254,6,low,M,1,1021,No
F,Flight,3,4,168,2,medium,F,7,4699,Yes
D,Ship,3,5,212,3,high,M,6,2069,Yes
B,Road,5,2,271,4,low,F,4,4066,No
F,Ship,4,3,286,5,low,M,37,2938,Yes
F,Ship,4,3,173,3,medium,M,5,5331,Yes
B,Road,4,2,224,2,low,M,9,5603,Yes
A,Road,4,5,105,5,high,M,4,5824,Yes
D,Road,3,4,138,5,medium,F,5,5690,No
F,Ship,6,5,307,4,high,M,3,1406,No
F,Ship,5,4,133,3,low,M,9,1051,Yes
F,Flight,3,5,186,2,low,F,39,2197,Yes
F,Ship,4,5,227,2,low,M,7,4414,No
B,Ship,5,2,172,2,low,F,2,1680,No
A,Flight,7,2,284,4,low,F,1,1085,Yes
D,Ship,3,2,194,3,medium,F,7,4727,Yes
F,Ship,5,3,204,3,low,M,10,5610,Yes
F,Ship,5,1,237,4,low,M,33,2605,Yes
A,Ship,3,5,143,2,low,F,6,4253,No
D,Ship,3,3,165,4,medium,M,3,4235,No
A,Ship,3,3,196,3,low,M,4,5622,No
A,Ship,6,4,281,3,low,F,7,5180,No
F,Road,5,3,160,3,low,F,10,4416,Yes
D,Ship,3,5,196,3,medium,F,9,4741,Yes
A,Ship,4,1,251,2,low,F,2,4839,Yes
D,Road,4,1,251,3,low,F,4,4374,Yes
F,Road,4,5,201,10,low,F,7,5340,No
B,Road,4,5,188,2,low,F,4,4433,No
A,Ship,5,3,257,5,low,F,3,1262,Yes
D,Ship,6,5,263,7,high,M,7,5216,Yes
A,Flight,4,2,136,2,medium,F,17,1285,Yes
C,Road,5,5,195,4,medium,M,1,4482,No
A,Ship,4,1,285,2,low,M,4,4401,No
F,Ship,5,5,260,3,medium,M,8,4586,Yes
D,Ship,4,4,246,3,low,M,9,5041,No
F,Flight,6,4,155,5,medium,F,8,5982,No
D,Ship,4,3,149,3,medium,F,5,4031,No
F,Ship,5,4,262,3,medium,F,6,4428,No
B,Ship,3,3,150,3,medium,M,9,5852,No
F,Ship,6,5,257,4,medium,F,1,1957,Yes
F,Ship,5,2,172,5,medium,F,5,4805,No
B,Ship,3,1,176,2,medium,F,45,1470,Yes
F,Flight,4,3,261,10,low,F,6,4347,Yes
F,Ship,3,1,266,3,low,M,5,5154,No
C,Ship,5,1,161,2,medium,F,10,4108,Yes
A,Ship,3,3,193,3,medium,M,11,3188,Yes
F,Flight,4,1,171,4,medium,M,2,5082,No
C,Ship,4,2,258,3,medium,F,9,4977,Yes
F,Road,4,2,248,2,low,F,10,5783,No
C,Road,4,4,205,3,low,M,6,4254,No
A,Ship,4,2,185,3,medium,M,1,5338,No
B,Ship,5,3,174,5,medium,M,47,1909,Yes
B,Ship,6,2,236,4,low,F,61,3140,Yes
D,Ship,4,1,226,5,medium,F,2,1912,No
A,Flight,3,2,141,3,low,M,7,1933,Yes
B,Ship,4,1,258,5,low,M,8,1306,No
F,Ship,2,5,154,3,low,F,21,1113,Yes
B,Ship,5,2,225,5,low,M,5,1015,No
B,Road,4,4,227,3,medium,F,1,2761,Yes
A,Road,3,1,195,5,low,F,4,4034,No
C,Ship,4,1,238,3,high,F,4,4910,No
C,Ship,5,4,182,3,medium,F,7,5677,Yes
F,Flight,5,4,228,4,high,F,7,5913,No
D,Flight,3,1,265,3,medium,F,10,4244,No
F,Flight,2,5,134,10,high,M,8,5472,No
B,Ship,3,3,163,2,high,F,10,5364,Yes
F,Ship,6,1,287,4,medium,F,1,1581,No
F,Ship,2,1,109,4,low,F,3,5264,Yes
C,Ship,3,3,236,3,low,F,28,3652,Yes
D,Flight,2,1,218,2,low,M,15,2745,Yes
F,Road,5,4,239,2,low,M,35,2107,Yes
F,Ship,3,2,148,3,medium,F,64,1280,Yes
A,Ship,6,5,212,4,medium,F,13,3676,Yes
A,Ship,3,3,132,3,low,M,6,5721,Yes
F,Flight,5,1,262,3,medium,M,9,5146,No
A,Ship,4,4,189,4,high,F,56,2646,Yes
F,Ship,4,2,184,3,low,M,3,1705,Yes
C,Flight,3,1,110,3,low,F,54,1155,Yes
F,Ship,4,2,146,2,medium,M,4,4348,Yes
F,Ship,3,2,209,2,low,M,5,5713,No
F,Flight,3,3,150,3,low,M,6,1775,Yes
F,Ship,4,5,226,6,medium,F,10,1348,Yes
F,Flight,5,1,226,4,high,F,2,5600,No
C,Ship,3,5,156,3,medium,M,44,1424,Yes
B,Ship,2,5,286,6,medium,F,3,4497,Yes
F,Ship,4,2,224,3,low,F,9,4896,No
F,Ship,3,2,197,4,medium,M,1,5210,Yes
D,Ship,3,3,211,4,low,M,7,4733,No
F,Ship,7,4,287,4,low,M,9,1667,Yes
A,Ship,4,5,208,2,low,F,4,5831,No
A,Flight,3,3,234,3,low,M,3,4405,No
F,Ship,6,1,267,4,low,M,9,1146,Yes
A,Flight,5,4,175,4,low,M,4,4505,No
F,Ship,6,1,260,3,medium,M,1,5134,No
F,Ship,5,3,156,3,medium,M,58,1218,Yes
A,Flight,5,5,219,5,low,M,6,1234,No
A,Ship,4,4,163,3,low,M,3,4185,Yes
B,Ship,5,1,227,3,low,F,14,2589,Yes
A,Ship,4,3,178,3,medium,M,6,4576,No
B,Ship,3,1,229,2,medium,F,12,3111,Yes
B,Ship,3,1,215,2,medium,F,9,4940,No
B,Ship,4,5,233,4,low,F,6,4705,Yes
F,Ship,5,3,233,5,medium,F,3,1398,No
D,Ship,4,5,147,3,medium,F,46,1469,Yes
A,Ship,4,5,217,4,medium,F,12,2217,Yes
B,Ship,6,3,284,4,medium,M,4,1652,Yes
A,Ship,5,5,98,2,medium,M,2,4125,Yes
B,Ship,3,3,201,2,high,M,36,3340,Yes
D,Ship,5,3,250,4,medium,F,4,1111,Yes
F,Ship,5,3,206,3,low,F,1,4645,No
A,Road,3,4,202,3,medium,M,28,3707,Yes
F,Ship,4,4,160,5,low,M,6,4055,No
B,Ship,4,3,271,3,medium,M,1,4137,No
D,Ship,4,4,136,2,medium,F,16,1131,Yes
D,Ship,4,2,185,2,medium,M,5,4066,No
F,Road,5,1,199,2,medium,M,7,4660,Yes
B,Ship,6,3,219,5,low,M,9,1483,Yes
D,Ship,5,5,271,2,low,M,27,3957,Yes
B,Ship,5,1,249,3,medium,F,5,4392,No
D,Ship,3,4,128,3,medium,F,51,1524,Yes
F,Ship,5,4,211,2,medium,F,7,4734,No
F,Ship,6,2,301,5,medium,F,3,1586,No
B,Ship,3,4,176,2,low,F,10,4920,No
B,Ship,5,3,215,4,low,M,5,5915,Yes
F,Ship,5,3,252,2,low,M,11,3036,Yes
F,Ship,2,5,148,3,high,F,11,1502,Yes
B,Flight,4,4,229,2,medium,M,45,3776,Yes
F,Ship,3,5,164,3,medium,F,43,1423,Yes
A,Ship,5,2,150,3,medium,F,7,5980,No
A,Road,5,3,269,3,low,F,8,4811,No
D,Flight,4,4,178,3,low,F,1,1165,Yes
B,Flight,5,5,216,6,low,M,54,2075,Yes
C,Flight,5,2,206,6,medium,M,23,2016,Yes
F,Ship,5,5,266,2,medium,M,7,5712,Yes
F,Ship,3,4,186,4,low,M,6,4403,No
F,Ship,5,5,271,4,low,M,8,1132,Yes
F,Road,2,5,182,2,medium,F,57,2896,Yes
F,Ship,3,1,171,2,low,M,1,1629,Yes
F,Flight,5,5,238,5,low,M,2,1657,No
F,Ship,3,4,205,3,low,F,7,4490,No
F,Ship,6,5,298,4,medium,F,8,1759,Yes
D,Road,2,3,215,2,medium,F,3,5052,Yes
C,Ship,3,5,256,2,medium,F,6,5375,No
F,Ship,3,2,257,3,low,F,6,3620,Yes
D,Ship,4,3,196,2,medium,F,4,4203,Yes
A,Ship,2,4,166,3,low,M,8,4968,Yes
C,Road,6,2,286,4,low,F,5,1248,Yes
C,Road,4,3,180,3,low,M,7,5718,No
F,Ship,4,2,265,4,medium,M,3,4283,Yes
C,Ship,3,4,222,3,medium,M,57,2714,Yes
D,Ship,3,2,185,3,medium,M,47,2467,Yes
F,Road,3,5,226,2,medium,M,3,4208,Yes
F,Ship,4,4,174,2,low,F,1,4541,Yes
A,Ship,3,5,206,3,medium,M,21,3746,Yes
B,Road,4,2,229,6,medium,F,5,1689,No
D,Flight,7,1,280,5,low,M,10,1199,Yes
F,Road,5,2,257,6,low,M,3,1379,Yes
F,Ship,3,1,101,2,medium,F,56,1184,Yes
A,Ship,2,2,180,2,high,M,1,4407,No
B,Flight,5,1,236,5,low,M,8,1441,No
F,Road,4,1,133,3,low,M,57,1379,Yes
B,Ship,5,4,285,2,low,M,2,4505,Yes
F,Road,4,5,231,3,low,F,6,4449,Yes
F,Flight,4,1,152,3,medium,F,3,4250,Yes
D,Ship,3,5,272,10,medium,M,59,2182,Yes
D,Ship,6,1,266,4,low,M,9,1287,No
C,Road,4,4,186,3,low,F,2,4430,No
F,Ship,5,2,279,8,low,M,5,4785,No
C,Ship,4,2,173,3,high,F,3,5364,No
F,Ship,4,3,222,4,medium,M,49,3697,Yes
F,Ship,4,5,135,3,low,F,3,4760,No
B,Flight,4,4,198,2,medium,M,64,3787,Yes
F,Ship,6,5,237,5,high,F,63,2573,Yes
F,Ship,3,5,230,4,low,F,5,4450,Yes
F,Ship,4,3,201,2,low,F,4,4955,Yes
F,Flight,5,3,247,5,low,M,10,1699,Yes
D,Ship,7,5,288,4,low,F,1,1269,Yes
C,Flight,4,3,210,3,low,F,46,2344,Yes
C,Flight,3,5,132,3,medium,F,4,4212,No
F,Ship,6,4,280,4,low,M,4,1831,Yes
C,Ship,5,2,254,6,low,M,5,1885,No
C,Flight,3,2,257,5,low,M,5,4130,Yes
A,Ship,4,2,258,3,low,F,5,5393,Yes
F,Ship,5,4,219,5,low,M,5,1388,Yes
F,Ship,5,3,270,3,medium,M,38,3669,Yes
D,Road,6,2,240,6,low,M,3,5967,Yes
F,Ship,5,1,255,3,medium,F,6,5715,No
D,Ship,5,3,238,5,high,M,7,1848,No
A,Ship,4,2,249,5,low,M,2,1195,No
F,Ship,5,1,114,4,low,F,47,1443,Yes
F,Ship,3,3,172,6,medium,F,5,5366,Yes
D,Road,3,4,192,4,medium,M,3,4030,No
D,Ship,2,1,240,2,low,M,8,1144,Yes
F,Ship,2,2,181,2,low,F,6,1324,Yes
F,Ship,3,1,151,3,low,F,7,4072,No
F,Ship,5,2,151,6,medium,M,12,1920,Yes
A,Road,4,2,233,7,medium,F,5,5361,No
A,Ship,4,1,199,2,low,F,46,3371,Yes
F,Ship,4,3,195,3,medium,M,5,5863,No
B,Flight,5,1,264,2,medium,F,3,4056,Yes
A,Ship,5,3,219,4,medium,M,5,4096,No
F,Flight,6,4,292,4,low,F,10,1321,Yes
F,Road,3,1,187,3,medium,F,1,5541,No
D,Ship,4,3,210,3,medium,M,11,2655,Yes
C,Ship,4,2,274,10,medium,F,29,2949,Yes
F,Road,3,5,272,2,low,M,3,5638,Yes
C,Ship,3,2,162,3,medium,M,4,4812,Yes
B,Ship,4,5,142,2,medium,M,10,5428,Yes
F,Ship,5,2,254,5,medium,F,4,1030,No
B,Ship,4,5,137,2,high,F,6,5208,No
F,Flight,4,1,235,2,high,M,64,2107,Yes
C,Ship,3,2,186,2,medium,M,3,5712,No
A,Ship,7,5,250,4,low,M,1,1690,Yes
C,Ship,4,1,155,3,medium,M,9,4443,No
C,Ship,4,2,273,2,low,F,31,2229,Yes
B,Flight,3,4,200,4,medium,F,8,4944,No
F,Ship,4,5,141,2,low,F,10,5907,Yes
A,Ship,3,2,197,5,medium,F,9,4291,Yes
B,Flight,3,5,245,6,high,M,9,4793,No
B,Ship,4,4,179,3,high,F,1,5242,Yes
F,Ship,7,3,308,5,medium,M,10,1152,Yes
A,Ship,6,3,247,4,low,M,3,1616,Yes
F,Ship,2,2,198,2,low,M,11,3686,Yes
D,Flight,5,1,285,5,low,M,51,2063,Yes
A,Ship,4,4,210,2,medium,M,8,5942,No
B,Ship,4,1,225,5,low,M,3,1488,No
F,Flight,4,5,152,7,low,M,9,4224,No
C,Ship,5,5,265,3,low,M,6,4423,Yes
A,Ship,7,3,267,4,medium,F,10,1548,No
C,Ship,3,1,219,2,medium,F,10,4390,Yes
C,Ship,5,5,135,3,medium,M,2,5849,Yes
A,Ship,4,1,263,2,low,F,5,4010,Yes
D,Ship,6,5,252,4,low,F,9,1460,No
C,Ship,4,4,159,3,low,F,1,4194,Yes
D,Ship,4,2,261,5,low,F,8,1235,Yes
F,Flight,3,2,227,2,medium,M,10,4290,No
F,Ship,3,2,136,3,high,F,2,5739,No
D,Ship,4,2,235,5,low,M,8,1021,No
C,Ship,4,4,254,4,low,F,10,4827,No
F,Ship,4,1,232,2,medium,F,26,3300,Yes
F,Flight,3,2,119,2,low,M,32,1791,Yes
C,Ship,4,2,179,3,low,M,3,5284,No
B,Ship,4,3,198,7,medium,F,1,5315,No
F,Ship,3,3,212,2,low,M,2,5125,No
A,Ship,4,4,258,3,high,M,10,4958,Yes
B,Road,2,2,124,3,low,F,56,1494,Yes
A,Ship,4,4,216,6,low,M,10,1255,No
F,Ship,5,3,149,7,medium,F,51,1425,Yes
F,Ship,5,4,257,5,low,M,10,1695,Yes
B,Ship,4,5,219,3,medium,M,8,4605,No
B,Ship,3,5,211,2,low,F,5,5877,Yes
F,Ship,3,3,198,2,low,M,7,4996,Yes
C,Ship,4,3,165,3,low,F,44,1320,Yes
D,Road,5,4,254,5,medium,M,7,1545,No
F,Ship,3,1,269,8,medium,F,4,4290,No
B,Ship,4,3,271,2,medium,M,9,4967,Yes
D,Ship,5,1,246,3,medium,F,10,4078,Yes
C,Ship,4,3,279,6,medium,M,2,5405,No
F,Ship,3,1,256,2,medium,F,63,3046,Yes
F,Road,5,5,187,4,medium,F,9,5326,No
D,Ship,5,2,226,6,low,F,5,1981,Yes
F,Road,4,5,222,3,medium,F,7,5844,No
F,Ship,2,2,146,3,medium,F,1,1162,Yes
D,Ship,5,3,270,2,low,F,7,5248,Yes
A,Road,2,1,258,5,low,F,9,1548,Yes
F,Flight,4,5,208,3,medium,M,23,2056,Yes
D,Ship,3,2,225,3,high,M,5,4304,Yes
C,Flight,5,1,264,6,high,F,4,5337,No
F,Ship,3,1,181,3,medium,M,22,3266,Yes
F,Ship,4,4,256,3,medium,M,1,5784,Yes
F,Ship,6,4,304,4,low,M,6,1342,No
B,Road,3,1,267,2,low,F,9,5744,No
D,Ship,3,2,278,4,medium,M,7,1879,No
F,Ship,4,2,147,3,low,F,5,5174,No
A,Ship,2,2,152,4,low,F,48,1212,Yes
B,Ship,4,5,101,6,medium,M,8,4146,No
B,Ship,2,1,229,4,low,F,11,3614,Yes
A,Ship,3,3,251,3,low,M,8,4246,No
C,Ship,3,4,265,2,high,F,64,2493,Yes
C,Ship,5,4,154,5,low,M,6,5659,Yes
D,Ship,4,4,239,3,medium,F,7,5297,Yes
F,Ship,3,1,214,2,high,F,10,4310,No
